s, 10315
n, 9602
t, 9106
e, 8636
h, 8472
unsigned, 7567
const, 7443
o, 6923
p, 6231
l, 5868
r, 4953
c, 4904
d, 4791
j, 4032
m, 3950
size, 3869
string, 3573
int, 3420
return, 3347
void, 3302
cc, 3286
vector, 3152
include, 3036
data, 2999
node, 2937
index, 2798
struct, 2490
b, 2232
endl, 2225
id, 2133
end, 2006
src, 1958
rect, 1841
file, 1820
u, 1806
f, 1763
float, 1705
back, 1665
query, 1642
begin, 1625
new, 1599
push, 1583
y, 1507
uci, 1492
q, 1434
student, 1363
ics, 1341
uint, 1336
else, 1324
first, 1320
